CityId,Han,age,card_age,cashAmt_mean,cashAmt_non_null_months,cashCnt_mean,cashCnt_non_null_months,cashTotalAmt,cashTotalCnt,education,idVerify,inCourt,isBlackList,isCrime,isDue,maritalStatus,monthCardLargeAmt,netLength,noTransWeekPre,onlineTransAmt,onlineTransCnt,publicPayAmt,publicPayCnt,sex,threeVerify,transAmt_mean,transAmt_non_null_months,transCnt_mean,transCnt_non_null_months,transTotalAmt,transTotalCnt,Default
一线城市,0,38.0,2,0.0,0,0.0,0,0,0,小学,不一致,0,0,0,0,已婚,0,无效,0.87,-7710.0,2.0,0.0,0.0,女,不一致,0.0,2,0.0,2,0,0,0.0
一线城市,0,39.0,19,0.0,0,0.0,0,0,0,小学,不一致,0,0,0,0,未婚,400,0-6个月,0.87,700.0,3.0,0.0,0.0,男,一致,180.0,5,1.0,5,900,5,0.0
